Variable,N,Mean,Std_Dev,Min,P25,Median,P75,Max,Skewness,Kurtosis
DV1_NonOil_GDP_Contrib_USD_M,30,5252.33,9611.93,140,412.5,710,5400,42000,2.64,7.41
DV2_NonOil_Deal_Share_Pct,30,78.40,10.41,58,71.25,77,86.75,95,-0.13,-1.03
IV1_AUM_USD_M,30,124878,264351.88,90,462.5,2150,43250,993000,2.31,4.53
IV1_log_ln_AUM,30,8.43,2.95,4.5,6.11,7.67,10.58,13.81,0.61,-0.92
IV2_DIFC_ADGM_Binary,30,0.47,0.51,0,0,0,1,1,0.14,-2.13
IV3_Policy_Reform_Score,30,8.13,0.88,6.5,7.62,8.2,8.8,9.5,-0.37,-0.78
IV4_Active_NonOil_Portfolio_Cos,30,19.87,11.64,8,12,16,23.5,52,1.35,1.17
IV5_Sectoral_Focus_Score,30,8.05,0.97,6,7.5,7.9,8.95,9.5,-0.24,-0.87
CV1_GCC_Countries_Active,30,3.30,1.02,2,3,3,4,6,0.59,0.24
CV2_Cumulative_Exits,30,21.53,25.54,3,8,14,19.75,120,2.71,7.88
CV3_Avg_Oil_Price,30,65.64,4.99,58.4,61.92,64.8,69.9,74.2,0.35,-1.08
Firm_Age_Years,30,18.67,14.54,4,8.25,18,22.25,72,2.13,5.71
