Firm Name,HQ Country,HQ City,Firm Type,Founded,AUM_USD_M,DIFC_ADGM,Policy_Reform_Score,Active_NonOil_Portfolio_Cos,Sectoral_Focus_Score,GCC_Countries_Active,Cumulative_Exits,Avg_Oil_Price,NonOil_GDP_Contrib_USD_M,NonOil_Deal_Share_Pct,Post2015_Vintage,Firm_Age_Yrs,Firm_Size_Category
Gulf Capital,UAE,Abu Dhabi,Buyout / Growth,2006,2500,1,8.5,18,8.5,4,22,65.2,1420,82,1,19,Mid ($500M–5B)
Waha Capital,UAE,Abu Dhabi,Diversified Alt. Inv.,2005,2800,1,8.5,14,7.8,3,18,66.1,980,74,1,20,Mid ($500M–5B)
Abraaj Group (legacy),UAE,Dubai,Buyout / Growth,2002,13600,1,7.0,42,7.5,6,61,58.4,4200,71,0,23,Large ($5B–50B)
Investcorp,Bahrain,Manama,Buyout / Alt. Inv.,1982,52000,1,7.5,31,7.2,5,84,62.3,5800,68,1,43,Mega (>$50B)
GFH Financial Group,Bahrain,Manama,Investment Bank/PE,2000,1800,0,6.8,12,6.5,4,19,60.4,620,62,1,25,Mid ($500M–5B)
Amwal AlKhaleej,Saudi Arabia,Riyadh,Growth Equity,2006,800,0,8.0,10,7.8,3,14,66.8,480,76,1,19,Mid ($500M–5B)
STV (Saudi Technology Ventures),Saudi Arabia,Riyadh,VC/Growth,2018,1000,0,9.0,22,9.5,2,8,70.4,920,94,1,7,Mid ($500M–5B)
Impact46,Saudi Arabia,Riyadh,Venture / Growth,2018,350,0,8.8,15,9.2,2,5,71.3,410,92,1,7,Small (<$500M)
Raed Ventures,Saudi Arabia,Riyadh,Venture Capital,2015,200,0,8.5,12,9.0,2,6,64.8,280,91,1,10,Small (<$500M)
Hassana Investment Co.,Saudi Arabia,Riyadh,Sovereign/PE,2021,250000,0,9.5,28,8.8,3,7,72.1,12400,87,1,4,Mega (>$50B)
Public Investment Fund (PE arm),Saudi Arabia,Riyadh,Sovereign/PE,2016,700000,0,9.5,45,9.0,4,12,72.8,28500,85,1,9,Mega (>$50B)
Jadwa Investment,Saudi Arabia,Riyadh,Asset Mgmt/PE,2006,5200,0,8.0,14,7.5,3,20,63.4,1240,72,1,19,Large ($5B–50B)
SRMG Capital,Saudi Arabia,Riyadh,Strategic/PE,2019,400,0,8.8,8,8.2,2,3,73.5,310,83,1,6,Small (<$500M)
Equitativa (REIT/PE),UAE,Dubai,Real Estate/PE,2014,1200,1,8.0,9,6.0,2,11,68.2,480,58,1,11,Mid ($500M–5B)
Mubadala Capital,UAE,Abu Dhabi,Sovereign/PE,2002,284000,1,9.0,38,8.5,4,34,65.4,18200,83,1,23,Mega (>$50B)
ADQ (PE/Infra arm),UAE,Abu Dhabi,Sovereign/PE,2018,157000,1,9.2,29,8.8,3,8,72.1,9800,86,1,7,Mega (>$50B)
ADIA (PE allocation),UAE,Abu Dhabi,Sovereign/PE,1976,993000,1,9.0,52,8.0,5,120,60.2,42000,78,1,49,Mega (>$50B)
Chimera Investment,UAE,Abu Dhabi,Multi-Asset/PE,2006,2200,1,8.5,16,7.5,3,17,64.8,740,71,1,19,Mid ($500M–5B)
Global Capital Management,UAE,Dubai,Buyout/Growth,2007,1500,1,8.2,14,7.8,3,15,63.2,680,74,1,18,Mid ($500M–5B)
Shorooq Partners,UAE,Dubai,VC/Seed,2019,180,1,9.2,18,9.5,4,4,74.1,340,95,1,6,Small (<$500M)
MEVP (Mid East Venture Partners),UAE,Dubai,Venture Capital,2010,300,1,8.0,24,9.2,4,16,62.4,480,90,1,15,Small (<$500M)
Wamda Capital,UAE,Dubai,Venture Capital,2012,150,1,8.2,19,9.3,4,12,63.8,310,91,1,13,Small (<$500M)
VentureSouq,UAE,Dubai,Venture Capital,2013,120,1,8.0,16,9.0,4,11,64.2,240,89,1,12,Small (<$500M)
QIA (PE/alternative arm),Qatar,Doha,Sovereign/PE,2005,450000,0,8.0,22,7.5,3,28,61.8,14200,73,1,20,Mega (>$50B)
Doha Ventures,Qatar,Doha,VC/Growth,2017,90,0,8.2,8,8.5,2,3,68.4,140,84,1,8,Small (<$500M)
Kuwait Investment Authority (PE),Kuwait,Kuwait City,Sovereign/PE,1953,803000,0,6.5,18,6.8,3,42,58.6,9200,65,0,72,Mega (>$50B)
Kamco Invest,Kuwait,Kuwait City,Asset Mgmt/PE,2000,3200,0,6.8,11,7.0,3,14,60.1,580,67,1,25,Mid ($500M–5B)
National Investments Co. (NIC),Kuwait,Kuwait City,Investment/PE,1997,2100,0,6.5,9,6.5,3,16,58.8,420,63,0,28,Mid ($500M–5B)
Growthgate Capital,Bahrain,Manama,Mid-Market Buyout,2007,650,0,7.2,10,7.8,4,12,61.4,380,76,1,18,Mid ($500M–5B)
Oman Investment Authority (alt.),Oman,Muscat,Sovereign/PE,2020,17000,0,7.0,12,7.2,2,4,74.2,1820,72,1,5,Large ($5B–50B)
